rxn,Ea
[C:0](#[C:1][C:2]([C:3]([C:4]#[C:5][H:11])([H:9])[H:10])([H:7])[H:8])[H:6]>>[C:0](=[C:1]=[C:2]([H:7])[H:8])([C:5](=[C:4]=[C:3]([H:9])[H:10])[H:11])[H:6],144.706
[C:0](=[C:1]=[C:2]([C:3](=[C:4]=[C:5]([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0]([C:1]#[C:2][H:8])([C:5]([C:4]#[C:3][H:9])([H:10])[H:11])([H:6])[H:7],166.561
[C:0](=[C:1]=[C:2]([C:3](=[C:4]=[C:5]([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]1[C:2]([H:8])=[C:3]([H:9])[C:4]1=[C:5]([H:10])[H:11])([H:6])[H:7],122.413
[C:0](=[C:1]=[C:2]([C:3](=[C:4]=[C:5]([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0]1([H:6])([H:7])[C:1][C:2]([H:8])=[C:3]([H:9])[C:4]1=[C:5]([H:10])[H:11],160.977
[C:0](=[C:1]=[C:2]([C:3](=[C:4]=[C:5]([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](#[C:1][C:2](=[C:3]([C:4](=[C:5]([H:10])[H:11])[H:6])[H:9])[H:8])[H:7],163.807
[C:1]([C:2]#[C:3][H:4])(=[C:5]([C:6](=[C:7]([H:8])[H:9])[H:10])[H:11])[H:12]>>[C:1]1[C:2]([H:12])=[C:3]([H:4])[C:7]([H:9])=[C:6]([H:10])[C:5]1([H:8])[H:11],217.397
[C:0](#[C:1][C:2](=[C:3]([C:4](=[C:5]([H:10])[H:11])[H:9])[H:8])[H:7])[H:6]>>[C:0]1([H:6])=[C:1]=[C:2]([H:7])[C:3]([H:8])=[C:4]([H:9])[C:5]1([H:10])[H:11],156.176
[C:0](#[C:1][C:2](=[C:3]([C:4](=[C:5]([H:10])[H:11])[H:9])[H:8])[H:7])[H:6]>>[C:0](=[C:1]=[C:2]([C:3](=[C:4]=[C:5]([H:10])[H:11])[H:8])[H:7])([H:6])[H:9],218.723
[C:0](=[C:1]1[C:2]([H:8])=[C:3]([H:9])[C:4]([H:10])=[C:5]1[H:11])([H:6])[H:7]>>[C:0]1([H:6])([H:7])[C:1]2=[C:2]([H:8])[C:3]([H:9])=[C:4]([H:10])[C:5]12[H:11],172.393352
[C:0](#[C:1][H:3])[H:2].[O:4][H:5]>>[C:0]#[C:1][H:3].[H:2][O:4][H:5],213.593
[C:0](#[C:1][H:3])[H:2].[O:4][H:5]>>[C:0](=[C:1][H:3])([H:2])[O:4][H:5],1.92464
[C:0]([H:1])([H:2])[H:3].[C:4]1([H:9])[C:5]([H:10])=[C:6]([H:11])[C:7]([H:12])=[C:8]1[H:13]>>[C:0]([H:1])([H:2])([H:3])[C:4]1([H:9])[C:5]([H:10])=[C:6]([H:11])[C:7]([H:12])=[C:8]1[H:13],0.008368
[C:0]([C:1]1[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])=[C:5]1[H:12])([H:6])([H:7])[H:8].[H:13]>>[C:0]([C:1]1([H:13])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])=[C:5]1[H:12])([H:6])([H:7])[H:8],-0.092048
[C:0]([C:1]1=[C:2]([H:8])[C:3]([H:9])=[C:4]([H:10])[C:5]1([H:11])[H:12])([H:6])[H:7].[H:13]>>[C:0]([C:1]1=[C:2]([H:8])[C:3]([H:9])=[C:4]([H:10])[C:5]1([H:11])[H:12])([H:6])([H:7])[H:13],-0.004184
[C:0]([C:1]1=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])=[C:5]1[H:12])([H:6])[H:7].[H:13]>>[C:0]([C:1]1=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])=[C:5]1[H:12])([H:6])([H:7])[H:13],0.037656
[C:0]([C:1]1([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])=[C:5]1[H:12])([H:6])[H:7].[H:13]>>[C:0]([C:1]1([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])=[C:5]1[H:12])([H:6])([H:7])[H:13],-3.3472
[C:0]([C:1]1([H:9])[C:2]([H:10])=[C:3]([H:11])[C:4]([H:12])=[C:5]1[H:13])([H:6])([H:7])[H:8]>>[C:0]([C:1]1=[C:2]([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:9])[H:13])([H:6])([H:7])[H:8],99.441128
[C:0]([C:1]1=[C:2]([H:9])[C:3]([H:10])=[C:4]([H:11])[C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:0]([C:1]1=[C:5]([H:13])[C:4]([H:11])([H:12])[C:3]([H:10])=[C:2]1[H:9])([H:6])([H:7])[H:8],112.788088
[C:0](=[C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[H:6])([H:4])[H:5].[C:10](=[C:11]([H:13])[H:14])[H:12]>>[C:0](=[C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[H:6])[H:5].[H:4][C:10](=[C:11]([H:13])[H:14])[H:12],27.526536
[C:0](=[C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[H:6])([H:4])[H:5].[C:10](=[C:11]([H:13])[H:14])[H:12]>>[C:0](=[C:1][C:2](=[C:3]([H:8])[H:9])[H:7])([H:4])[H:5].[H:6][C:10](=[C:11]([H:13])[H:14])[H:12],15.4808
[C:0](=[C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[H:6])([H:4])[H:5].[C:10](=[C:11]([H:13])[H:14])[H:12]>>[C:0]([C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[H:6])([H:4])([H:5])[C:10](=[C:11]([H:13])[H:14])[H:12],5.8576
[C:0](=[C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])[H:6])([H:4])[H:5].[C:10](=[C:11]([H:13])[H:14])[H:12]>>[C:0]([C:1]([C:2](=[C:3]([H:8])[H:9])[H:7])([H:6])[C:10](=[C:11]([H:13])[H:14])[H:12])([H:4])[H:5],13.5143
[C:0](=[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])[C:5]1([H:13])[H:14])[H:8])([H:6])[H:7],163.385
[C:0](=[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[C:4]1([C:5]([H:13])[H:14])[H:12])[H:8])([H:6])[H:7],71.8811
[C:0](=[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]([C:2](=[C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])[H:11])[H:9])[H:8])([H:6])[H:7].[H:10],170.138176
[C:0]([C:1]1([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7]>>[C:0](=[C:1]1[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7].[H:8],135.159936
[C:0]([C:1]1([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7]>>[C:0]([C:1]1[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])([H:7])[H:8],102.679544
