,err,model_unc,data_unc,unc,g,pred,index
[C:4]([H:5])([H:6])([H:7])[H:8].[O:1]=[C:2]=[O:3]>>[O:1]([C:2](=[O:3])[C:4]([H:6])([H:7])[H:8])[H:5],15.03351472549339,3.009557777796145,5.319406596488426,6.111752985572784,100.60902180042467,115.64253652591806,0.0
[O:1]([C:2](=[O:3])[C:4]([H:6])([H:7])[H:8])[H:5]>>[C:4]([H:5])([H:6])([H:7])[H:8].[O:1]=[C:2]=[O:3],2.7469617179460357,1.2732100279384326,2.4453136208895687,2.756922646675281,71.23225490486948,68.48529318692344,1.0
[C-:1]#[O+:2].[C:3]([H:4])([H:5])([H:6])[H:7]>>[C:1](=[O:2])([C:3]([H:5])([H:6])[H:7])[H:4],12.197755777090947,3.1849279591631943,4.226067998229985,5.2918254724360505,105.3101163002575,117.50787207734845,2.0
[C:1](=[O:2])([C:3]([H:5])([H:6])[H:7])[H:4]>>[C-:1]#[O+:2].[C:3]([H:4])([H:5])([H:6])[H:7],4.0785871078577,0.9653309713489043,2.510895560813201,2.690066988302867,83.71302214395837,87.79160925181607,3.0
[C:1](=[O:2])[H:3].[C:4]([H:5])([H:6])([H:7])[H:8]>>[C:1](=[O:2])([H:3])[H:5].[C:4]([H:6])([H:7])[H:8],19.04355875316088,3.9355366857767358,7.6911052678962335,8.639534087377381,40.56555088535242,59.6091096385133,4.0
[C:1](=[O:2])([H:3])[H:5].[C:4]([H:6])([H:7])[H:8]>>[C:1](=[O:2])[H:3].[C:4]([H:5])([H:6])([H:7])[H:8],40.105517044035345,1.3254385887557383,3.5992467659720724,3.8355396927842142,23.461718965350883,63.56723600938623,5.0
[C:2]([H:3])([H:4])([H:5])[H:6].[H:1]>>[C:2]([H:4])([H:5])[H:6].[H:1][H:3],55.30261477053614,7.430968906331989,11.577076550712414,13.756743813414863,22.9347722853272,78.23738705586334,6.0
[C:2]([H:4])([H:5])[H:6].[H:1][H:3]>>[C:2]([H:3])([H:4])([H:5])[H:6].[H:1],22.860092800941985,3.13205601062556,8.788210370868592,9.329652532454677,28.685395588254323,51.54548838919631,7.0
[C:1](=[C:2]([C:3]([H:7])([H:8])[H:9])[O:4])([H:5])[H:6]>>[C:1](=[C:2]=[O:4])([H:5])[H:6].[C:3]([H:7])([H:8])[H:9],28.09004743461435,2.0302233418013924,6.211297562699967,6.534678586586931,35.70474491006462,63.79479234467897,8.0
[C:1](=[C:2]=[O:4])([H:5])[H:6].[C:3]([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:3]([H:7])([H:8])[H:9])[O:4])([H:5])[H:6],44.34347447159746,2.1747869363695433,4.752149409523767,5.2261479340945485,30.49912219590624,74.8425966675037,9.0
[C:1]([H:2])([H:3])[H:4].[C:5](=[C:6]([H:9])[H:10])([H:7])[H:8]>>[C:1]([H:2])([H:3])([H:4])[C:5]([C:6]([H:9])[H:10])([H:7])[H:8],48.72984738947427,1.4067825301650805,6.862814684505732,7.0055165748890476,26.297606054824428,75.0274534442987,10.0
[C:1]([H:2])([H:3])([H:4])[C:5]([C:6]([H:9])[H:10])([H:7])[H:8]>>[C:1]([H:2])([H:3])[H:4].[C:5](=[C:6]([H:9])[H:10])([H:7])[H:8],26.31554976560635,3.054026362995494,5.443811084559677,6.241967330116867,30.790922523199697,57.106472288806046,11.0
[C:2](=[C:3]([H:6])[H:7])([H:4])[H:5].[H:1]>>[H:1][C:2]([C:3]([H:6])[H:7])([H:4])[H:5],40.79279732012496,3.5169909343672923,8.460520900924573,9.162403568245795,16.877251810707094,57.670049130832055,12.0
[H:1][C:2]([C:3]([H:6])[H:7])([H:4])[H:5]>>[C:2](=[C:3]([H:6])[H:7])([H:4])[H:5].[H:1],0.4869244691953014,3.134756989543405,6.733568593534463,7.427492671643972,43.53778854191478,44.02471301111008,13.0
[C:1]([O:2])([H:3])([H:4])[H:5].[C:6](=[C:7]=[O:8])([H:9])[H:10]>>[C:1]([O:2][C:7]([C:6]([H:9])[H:10])=[O:8])([H:3])([H:4])[H:5],48.7753474899462,4.603220658360548,7.195302652585902,8.541780885264327,31.72367086293525,80.49901835288145,14.0
[C:1]([O:2][C:7]([C:6]([H:9])[H:10])=[O:8])([H:3])([H:4])[H:5]>>[C:1]([O:2])([H:3])([H:4])[H:5].[C:6](=[C:7]=[O:8])([H:9])[H:10],2.3323551613529077,2.1112082095003895,5.268247344978755,5.67552906712119,42.79569793099654,45.12805309234945,15.0
[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5],13.261287380642415,3.5720307808287113,13.179785041583731,13.655260438436978,58.91876625971054,72.18005364035295,16.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5]>>[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6],28.613704164880247,2.589048527641814,5.3282028545117255,5.923927576980592,78.14846775276237,49.534763587882125,17.0
[C:2](=[C:3]=[O:4])([H:5])[H:6].[H:1]>>[H:1][C:2]([C:3]=[O:4])([H:5])[H:6],48.50790043151588,1.7986047172813198,7.902329867188485,8.10443065606004,19.931521343140048,68.43942177465593,18.0
[H:1][C:2]([C:3]=[O:4])([H:5])[H:6]>>[C:2](=[C:3]=[O:4])([H:5])[H:6].[H:1],9.356311816748267,1.8605828226039012,5.441755180541867,5.751040591468899,48.039703948263195,38.68339213151493,19.0
[C:1](=[C:2]([O:3][H:7])[H:6])([H:4])[H:5].[C:8]([C:9]([H:13])[H:14])([H:10])([H:11])[H:12]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[H:7][C:9]([C:8]([H:10])([H:11])[H:12])([H:13])[H:14],11.837716017704267,1.7505569338758964,4.422751861406253,4.756593697838134,38.048408967471914,49.88612498517618,20.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[H:7][C:9]([C:8]([H:10])([H:11])[H:12])([H:13])[H:14]>>[C:1](=[C:2]([O:3][H:7])[H:6])([H:4])[H:5].[C:8]([C:9]([H:13])[H:14])([H:10])([H:11])[H:12],24.469447909963904,2.4970499150952863,3.127337446780454,4.0019367541869855,49.95134239242179,74.4207903023857,21.0
[C:1]([H:2])([H:3])[H:4].[C:5](=[C:6]([O:7][H:11])[H:10])([H:8])[H:9]>>[C:1]([H:2])([H:3])([H:4])[H:11].[C:5](=[C:6]([O:7])[H:10])([H:8])[H:9],13.90742046316138,1.8394461574260756,4.7401026314207275,5.084499495768611,30.076405480212998,43.98382594337438,22.0
[C:1]([H:2])([H:3])([H:4])[H:11].[C:5](=[C:6]([O:7])[H:10])([H:8])[H:9]>>[C:1]([H:2])([H:3])[H:4].[C:5](=[C:6]([O:7][H:11])[H:10])([H:8])[H:9],17.45894067306824,3.841556783205534,3.7987330352027464,5.402585602406789,51.00018282084784,68.45912349391608,23.0
[C:1](=[O:2])[H:3].[C:4](=[C:5]([O:6][H:10])[H:9])([H:7])[H:8]>>[C:1](=[O:2])([H:3])[H:10].[C:4](=[C:5]([O:6])[H:9])([H:7])[H:8],9.836984935426571,2.288304959703004,4.849510662076095,5.362284331345279,38.82247270591324,48.65945764133981,24.0
[C:1](=[O:2])([H:3])[H:10].[C:4](=[C:5]([O:6])[H:9])([H:7])[H:8]>>[C:1](=[O:2])[H:3].[C:4](=[C:5]([O:6][H:10])[H:9])([H:7])[H:8],32.51710956330203,1.7683888866454287,3.856063561546849,4.24221940086795,41.45672932337038,73.97383888667241,25.0
[C:2](=[C:3]([O:4][H:8])[H:7])([H:5])[H:6].[H:1]>>[C:2](=[C:3]([O:4])[H:7])([H:5])[H:6].[H:1][H:8],37.99692724840763,2.114412374158121,7.662926166430324,7.949287837294327,24.58299164166965,62.57991889007728,26.0
[C:2](=[C:3]([O:4])[H:7])([H:5])[H:6].[H:1][H:8]>>[C:2](=[C:3]([O:4][H:8])[H:7])([H:5])[H:6].[H:1],21.242597767606156,1.3787035355506412,5.916708658029727,6.075217262200898,50.404211849250714,71.64680961685687,27.0
[C:1](=[C:2]([O:3][H:7])[H:6])([H:4])[H:5]>>[C:1]([C:2](=[O:3])[H:6])([H:4])([H:5])[H:7],0.8193088905746535,0.5120424569498008,0.8156112469770519,0.9630208636964467,55.697754280859954,56.51706317143461,28.0
[C:1]([C:2](=[O:3])[H:6])([H:4])([H:5])[H:7]>>[C:1](=[C:2]([O:3][H:7])[H:6])([H:4])[H:5],0.5772592135240018,0.13124478182301771,0.6576885757032537,0.6706559888395435,69.12015267441166,69.69741188793566,29.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7](=[C:8]([O:9])[H:12])([H:10])[H:11]>>[C:1](=[C:2]([O:3][H:12])[H:6])([H:4])[H:5].[C:7](=[C:8]=[O:9])([H:10])[H:11],16.280848961962946,1.4804488584131028,3.542483392348173,3.83939023901443,46.6635408338916,62.94438979585455,30.0
